orden,numero,nombre,complejidad_tiempo,rust,python,conceptos_clave,notas
2,1464,Maximum Product of Two Elements,O(n),Si,Si,"encontrar los dos máximos en una pasada; alternativa: ordenar y tomar los últimos dos",
3,191,Number of 1 Bits,O(log n),Si,Si,"operaciones bitwise (AND y shift); conteo de bits encendidos (popcount)",
4,9,Palindrome Number,O(log n),Si,Si,"reversión de dígitos o comparación de la representación textual; cuidar el overflow al revertir",
5,136,Single Number,O(n),Si,Si,"XOR: los pares se anulan y sobrevive el único; reducción en una sola pasada",
6,2917,Find the K-or of an Array,O(32n),Si,Si,"máscaras de bits; contar cuántos números tienen encendido cada bit; comparar contra el umbral k",
7,338,Counting Bits,O(n log n),Si,Si,"conteo de bits sobre un rango; DP sobre bits con f(i) = f(i>>1) + (i&1)",
8,26,Remove Duplicates from Sorted Array,O(n),Si,Si,"dos punteros (uno lee y otro escribe); modificación in-place aprovechando que ya está ordenado",
9,14,Longest Common Prefix,O(n*m),Si,Si,"comparación carácter a carácter en paralelo; cortar al primer desajuste",
10,217,Contains Duplicate,O(n),Si,Si,"conjunto para pertenencia en O(1); salida temprana al primer repetido",
11,20,Valid Parentheses,O(n),Si,Si,"pila para emparejar; mapa de símbolo de cierre a símbolo de apertura",
12,888,Fair Candy Swap,O(n+m),Si,Si,"sumas totales y diferencia entre ambas; conjunto para buscar el complemento en O(1)",
13,1003,Check if Word Valid After Substitutions,O(n),Si,Si,"pila; revisar el patrón en la cima cada vez que se inserta",
14,3074,Apple Redistribution into Boxes,O(n log n),Si,Si,"ordenar descendente y acumular con estrategia codiciosa (greedy)",
15,509,Fibonacci Number,O(n),Si,Si,"recurrencia; memoización o DP iterativo con dos acumuladores",
16,1137,N-th Tribonacci Number,O(n),Si,Si,"recurrencia de tres términos; ventana deslizante de tamaño fijo",
17,70,Climbing Stairs,O(n),Si,Si,"DP lineal (mismo patrón que Fibonacci); espacio O(1) con dos variables",
18,746,Min Cost Climbing Stairs,O(n),Si,Si,"DP lineal eligiendo el mínimo entre dos saltos posibles",
19,241,Different Ways to Add Parentheses,O(Catalan(n)),Si,Si,"divide y conquista partiendo en cada operador; combinar los resultados de las subexpresiones; memoización opcional",
20,13,Roman to Integer,O(n),Si,Si,"mapa de símbolo a valor; lookahead para restar cuando el siguiente es mayor",
